baseline_model,representation,subset,MAE,relative_MAE_improvement_vs_baseline_%
chgnet,mat2vec+S64,unique_prototype,0.0492231954183668,12.495675045115465
chgnet,mat2vec+H64,unique_prototype,0.0492399525242639,12.465885852697934
chgnet,mat2vec+S32,unique_prototype,0.0492986329234834,12.361569408425204
chgnet,mat2vec+L32,unique_prototype,0.0493383600084649,12.290946367312474
chgnet,mat2vec,unique_prototype,0.0493599446133824,12.252575305322882
chgnet,mat2vec+L64,unique_prototype,0.0493920838761043,12.195441174449744
chgnet,mat2vec+H32,unique_prototype,0.0493934006080368,12.193100413393482
chgnet,MDS_E_64_cos_zscore,unique_prototype,0.0507720409144782,9.742284525773632
chgnet,MDS_64_cos_zscore,unique_prototype,0.050815895464854,9.664324068427891
chgnet,MDS_F_64_cos_zscore,unique_prototype,0.0510501994711354,9.247800644265379
chgnet,MDS_F_32_cos_zscore,unique_prototype,0.0515139424343064,8.423402418998698
chgnet,MDS_32_cos_zscore,unique_prototype,0.0515943110228212,8.280530770260915
chgnet,MDS_E_32_cos_zscore,unique_prototype,0.0517652726238864,7.976611462152877
chgnet,chgnet-baseline,unique_prototype,0.0562523000363071,0.0
m3gnet,mat2vec+H32,unique_prototype,0.0584478429513645,13.112029119444763
m3gnet,mat2vec+H64,unique_prototype,0.058449311400728,13.109846137505773
m3gnet,mat2vec+S64,unique_prototype,0.0584682487778902,13.081694024573363
m3gnet,mat2vec+S32,unique_prototype,0.058508347636983,13.022083467104226
m3gnet,mat2vec+L64,unique_prototype,0.0585477041598012,12.96357645921631
m3gnet,mat2vec+L32,unique_prototype,0.0585792534140781,12.916675657604248
m3gnet,mat2vec,unique_prototype,0.0585964880991929,12.891054749410321
m3gnet,MDS_E_64_cos_zscore,unique_prototype,0.059924401057709,10.916992805542378
m3gnet,MDS_64_cos_zscore,unique_prototype,0.060073279941494,10.695670966004093
m3gnet,MDS_F_64_cos_zscore,unique_prototype,0.0603152073989493,10.33602406002547
