baseline_model,residual_route,input_root,path_model,path_route,representation,subset,n_rows,n_unique_material_ids,n_duplicate_material_ids,n_folds,expected_total,coverage_fraction,prediction_file,MAE,RMSE,R2,F1,DAF,Precision,Recall,Accuracy,TPR,FPR,TNR,FNR,TP,FP,TN,FN,baseline_all_subset_MAE,baseline_all_subset_RMSE,baseline_all_subset_R2,baseline_all_subset_F1,baseline_all_subset_DAF,baseline_all_subset_Precision,baseline_all_subset_Recall,baseline_all_subset_Accuracy,baseline_all_subset_TPR,baseline_all_subset_FPR,baseline_all_subset_TNR,baseline_all_subset_FNR,baseline_all_subset_TP,baseline_all_subset_FP,baseline_all_subset_TN,baseline_all_subset_FN,baseline_same_rows_MAE,baseline_same_rows_RMSE,baseline_same_rows_R2,baseline_same_rows_F1,baseline_same_rows_DAF,baseline_same_rows_Precision,baseline_same_rows_Recall,baseline_same_rows_Accuracy,baseline_same_rows_TPR,baseline_same_rows_FPR,baseline_same_rows_TNR,baseline_same_rows_FNR,baseline_same_rows_TP,baseline_same_rows_FP,baseline_same_rows_TN,baseline_same_rows_FN,delta_MAE_vs_baseline_same_rows,delta_MAE_vs_baseline_all_subset,delta_RMSE_vs_baseline_same_rows,delta_RMSE_vs_baseline_all_subset,delta_R2_vs_baseline_same_rows,delta_R2_vs_baseline_all_subset,delta_F1_vs_baseline_same_rows,delta_F1_vs_baseline_all_subset,delta_DAF_vs_baseline_same_rows,delta_DAF_vs_baseline_all_subset,delta_Precision_vs_baseline_same_rows,delta_Precision_vs_baseline_all_subset,delta_Recall_vs_baseline_same_rows,delta_Recall_vs_baseline_all_subset,delta_Accuracy_vs_baseline_same_rows,delta_Accuracy_vs_baseline_all_subset,delta_TPR_vs_baseline_same_rows,delta_TPR_vs_baseline_all_subset,delta_FPR_vs_baseline_same_rows,delta_FPR_vs_baseline_all_subset,delta_TNR_vs_baseline_same_rows,delta_TNR_vs_baseline_all_subset,delta_FNR_vs_baseline_same_rows,delta_FNR_vs_baseline_all_subset,delta_TP_vs_baseline_same_rows,delta_TP_vs_baseline_all_subset,delta_FP_vs_baseline_same_rows,delta_FP_vs_baseline_all_subset,delta_TN_vs_baseline_same_rows,delta_TN_vs_baseline_all_subset,delta_FN_vs_baseline_same_rows,delta_FN_vs_baseline_all_subset,relative_MAE_improvement_vs_baseline_same_rows_%
chgnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,chgnet,crabnet_frontend,mat2vec+S64,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/chgnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.04805919120777362,0.07330027753625516,0.9936005074838189,0.6269455810929672,4.142200462316868,0.6903318174162034,0.5742206654991243,0.8861120083436137,0.5742206654991243,0.0515135099795459,0.9484864900204542,0.4257793345008757,24591.0,11031.0,203107.0,18234.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,-0.006048113535178229,-0.006048113535178229,-0.010817027479056732,-0.010817027479056732,0.002028128505620397,0.002028128505620397,-0.0034199488233080944,-0.0034199488233080944,0.7815296717038747,0.7815296717038747,0.13024835556371317,0.13024835556371317,-0.1465966141272621,-0.1465966141272621,0.026996104497534645,0.026996104497534645,-0.1465966141272621,-0.1465966141272621,-0.06171254051125909,-0.06171254051125909,0.061712540511259184,0.061712540511259184,0.14659661412726216,0.14659661412726216,-6278.0,-6278.0,-13215.0,-13215.0,13215.0,13215.0,6278.0,6278.0,11.177998172171145
chgnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,chgnet,crabnet_frontend,mat2vec+H64,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/chgnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.048075352267558095,0.07495515117156479,0.9933082876162921,0.6266810865831159,4.131100805055847,0.6884819681297176,0.575061295971979,0.8858162459186731,0.575061295971979,0.05203653718630042,0.9479634628136996,0.42493870402802103,24627.0,11143.0,202995.0,18198.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,-0.006031952475393752,-0.006031952475393752,-0.009162153843747106,-0.009162153843747106,0.0017359086380935862,0.0017359086380935862,-0.003684443333159315,-0.003684443333159315,0.7704300144428533,0.7704300144428533,0.12839850627722738,0.12839850627722738,-0.14575598365440745,-0.14575598365440745,0.026700342072594085,0.026700342072594085,-0.14575598365440745,-0.14575598365440745,-0.06118951330450457,-0.06118951330450457,0.06118951330450462,0.06118951330450462,0.1457559836544075,0.1457559836544075,-6242.0,-6242.0,-13103.0,-13103.0,13103.0,13103.0,6242.0,6242.0,11.148129636192031
chgnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,chgnet,crabnet_frontend,mat2vec+S32,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/chgnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.0481142886614334,0.07384086535753222,0.993505767200329,0.6279891339004451,4.1515139858341,0.6918839928057554,0.5748978400467017,0.8864856029856438,0.5748978400467017,0.051200627632648106,0.9487993723673519,0.4251021599532983,24620.0,10964.0,203174.0,18205.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,-0.0059930160815184486,-0.0059930160815184486,-0.010276439657779676,-0.010276439657779676,0.0019333882221305165,0.0019333882221305165,-0.0023763960158301733,-0.0023763960158301733,0.7908431952211066,0.7908431952211066,0.13180053095326516,0.13180053095326516,-0.14591943957968467,-0.14591943957968467,0.027369699139564774,0.027369699139564774,-0.14591943957968467,-0.14591943957968467,-0.06202542285815688,-0.06202542285815688,0.06202542285815693,0.06202542285815693,0.14591943957968478,0.14591943957968478,-6249.0,-6249.0,-13282.0,-13282.0,13282.0,13282.0,6249.0,6249.0,11.076168199450212
chgnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,chgnet,crabnet_frontend,mat2vec+L32,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/chgnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.0481592611820458,0.07504691250765927,0.9932918933773709,0.6275728354797704,4.182890758324334,0.697113190324053,0.5706479859894921,0.8871238271657788,0.5706479859894921,0.049584847154638595,0.9504151528453614,0.4293520140105079,24438.0,10618.0,203520.0,18387.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,-0.005948043560906051,-0.005948043560906051,-0.009070392507652625,-0.009070392507652625,0.001719514399172395,0.001719514399172395,-0.0027926944365048723,-0.0027926944365048723,0.8222199677113409,0.8222199677113409,0.1370297284715627,0.1370297284715627,-0.15016929363689435,-0.15016929363689435,0.0280079233196997,0.0280079233196997,-0.15016929363689435,-0.15016929363689435,-0.0636412033361664,-0.0636412033361664,0.06364120333616641,0.06364120333616641,0.15016929363689435,0.15016929363689435,-6431.0,-6431.0,-13628.0,-13628.0,13628.0,13628.0,6431.0,6431.0,10.993050918288178
chgnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,chgnet,crabnet_frontend,mat2vec,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/chgnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.04816792131748567,0.07380190391900696,0.9935126186340908,0.627807747011263,4.17387235610989,0.6956101993298881,0.5720490367775832,0.8869603795098905,0.5720490367775832,0.05006117550364718,0.9499388244963528,0.4279509632224168,24498.0,10720.0,203418.0,18327.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,-0.005939383425466176,-0.005939383425466176,-0.010315401096304938,-0.010315401096304938,0.0019402396558922952,0.0019402396558922952,-0.0025577829050122958,-0.0025577829050122958,0.8132015654968967,0.8132015654968967,0.13552673747739785,0.13552673747739785,-0.1487682428488032,-0.1487682428488032,0.02784447566381143,0.02784447566381143,-0.1487682428488032,-0.1487682428488032,-0.06316487498715781,-0.06316487498715781,0.06316487498715784,0.06316487498715784,0.1487682428488033,0.1487682428488033,-6371.0,-6371.0,-13526.0,-13526.0,13526.0,13526.0,6371.0,6371.0,10.977045435329792
chgnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,chgnet,crabnet_frontend,mat2vec+L64,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/chgnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.048188267990926494,0.07470836994966111,0.993352278467587,0.629152940575602,4.165031945241532,0.6941368720592793,0.5752948044366608,0.886972054342454,0.5752948044366608,0.05069627996899196,0.949303720031008,0.4247051955633392,24637.0,10856.0,203282.0,18188.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,-0.005919036752025354,-0.005919036752025354,-0.009408935065650784,-0.009408935065650784,0.0017798994893885034,0.0017798994893885034,-0.0012125893406732535,-0.0012125893406732535,0.8043611546285385,0.8043611546285385,0.13405341020678907,0.13405341020678907,-0.1455224751897256,-0.1455224751897256,0.02785615049637491,0.02785615049637491,-0.1455224751897256,-0.1455224751897256,-0.06252977052181302,-0.06252977052181302,0.06252977052181308,0.06252977052181308,0.14552247518972566,0.14552247518972566,-6232.0,-6232.0,-13390.0,-13390.0,13390.0,13390.0,6232.0,6232.0,10.939441134880004
chgnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,chgnet,crabnet_frontend,mat2vec+H32,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/chgnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.04820988155826486,0.08107253272682832,0.9921714419028193,0.6287866215612433,4.161517209248342,0.6935511123627147,0.5750846468184472,0.8868358479625471,0.5750846468184472,0.0508176969991314,0.9491823030008686,0.4249153531815528,24628.0,10882.0,203256.0,18197.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,-0.005897423184686987,-0.005897423184686987,-0.0030447722884835715,-0.0030447722884835715,0.0005990629246207524,0.0005990629246207524,-0.0015789083550319383,-0.0015789083550319383,0.8008464186353486,0.8008464186353486,0.13346765051022447,0.13346765051022447,-0.14573263280793924,-0.14573263280793924,0.027719944116468054,0.027719944116468054,-0.14573263280793924,-0.14573263280793924,-0.06240835349167359,-0.06240835349167359,0.06240835349167362,0.06240835349167362,0.1457326328079393,0.1457326328079393,-6241.0,-6241.0,-13364.0,-13364.0,13364.0,13364.0,6241.0,6241.0,10.899495387367637
chgnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,chgnet,crabnet_frontend,MDS_E_64_cos_zscore,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/chgnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.049462360852346135,0.07627593571002457,0.9930703805469391,0.6256984652726859,4.093213667727985,0.6821677646993963,0.5778633975481611,0.8847771858205267,0.5778633975481611,0.05384378298106828,0.9461562170189317,0.42213660245183887,24747.0,11530.0,202608.0,18078.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,-0.004644943890605713,-0.004644943890605713,-0.007841369305287324,-0.007841369305287324,0.0014980015687405812,0.0014980015687405812,-0.004667064643589347,-0.004667064643589347,0.7325428771149918,0.7325428771149918,0.12208430284690608,0.12208430284690608,-0.14295388207822535,-0.14295388207822535,0.025661281974447614,0.025661281974447614,-0.14295388207822535,-0.14295388207822535,-0.05938226750973671,-0.05938226750973671,0.05938226750973674,0.05938226750973674,0.14295388207822535,0.14295388207822535,-6122.0,-6122.0,-12716.0,-12716.0,12716.0,12716.0,6122.0,6122.0,8.584689096366004
chgnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,chgnet,crabnet_frontend,MDS_64_cos_zscore,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/chgnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.049473772145163325,0.07635803862743674,0.9930554545241757,0.6266078556995712,3.979804357254308,0.6632671692010746,0.593788674839463,0.8820608414440989,0.593788674839463,0.06028822535000794,0.9397117746499921,0.4062113251605371,25429.0,12910.0,201228.0,17396.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,-0.004633532597788523,-0.004633532597788523,-0.0077592663878751494,-0.0077592663878751494,0.0014830755459771527,0.0014830755459771527,-0.0037576742167040322,-0.0037576742167040322,0.6191335666413145,0.6191335666413145,0.1031837073485844,0.1031837073485844,-0.12702860478692346,-0.12702860478692346,0.022944937598019854,0.022944937598019854,-0.12702860478692346,-0.12702860478692346,-0.05293782514079705,-0.05293782514079705,0.052937825140797146,0.052937825140797146,0.12702860478692357,0.12702860478692357,-5440.0,-5440.0,-11336.0,-11336.0,11336.0,11336.0,5440.0,5440.0,8.563598981322569
chgnet,crabnet_frontend,mat2vec_residual/outputs_all_embeddings_residual,chgnet,crabnet_frontend,MDS_F_64_cos_zscore,all,256963,256963,0,5,256963.0,1.0,mat2vec_residual/outputs_all_embeddings_residual/chgnet/crabnet_frontend/residual_calibration_full_predictions.csv.gz,0.049680660016671326,0.07712811845576655,0.992914675076309,0.627754820936639,3.9789993370214956,0.6631330059500611,0.595960303561004,0.8822087226565692,0.595960303561004,0.060545069067610605,0.9394549309323894,0.4040396964389959,25522.0,12965.0,201173.0,17303.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,0.05410730474295185,0.0841173050153119,0.9915723789781985,0.6303655299162753,3.3606707906129936,0.5600834618524902,0.7208172796263864,0.859115903846079,0.7208172796263864,0.11322605049080499,0.886773949509195,0.2791827203736135,30869.0,24246.0,189892.0,11956.0,-0.004426644726280522,-0.004426644726280522,-0.006989186559545349,-0.006989186559545349,0.0013422960981105403,0.0013422960981105403,-0.0026107089796362226,-0.0026107089796362226,0.618328546408502,0.618328546408502,0.10304954409757083,0.10304954409757083,-0.12485697606538237,-0.12485697606538237,0.02309281881049019,0.02309281881049019,-0.12485697606538237,-0.12485697606538237,-0.052680981423194384,-0.052680981423194384,0.05268098142319444,0.05268098142319444,0.12485697606538237,0.12485697606538237,-5347.0,-5347.0,-11281.0,-11281.0,11281.0,11281.0,5347.0,5347.0,8.181233102092648
